Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Юрист / Помощник арбитражного управляющего (удаленно),ООО БизнесЮрист,50 000 – 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99804307?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник юриста - Начинающий юрист,ООО Национальный союз юридической защиты,60 000 – 120 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99480985?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО Юридическая инициатива,50 000 – 80 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99324461?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приема (Банкротство),ООО Современная защита,80 000 – 100 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/96189079?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,МКУ КРСЦ,от 45 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/99173696?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ГБУВ КО Областная СББЖ,45 000 – 55 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99161507?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО КИО,от 100 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/95650140?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приема,ИП Галь Кирилл Степанович,60 000 – 150 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98471895?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,Группа компаний Новикъ,от 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/93186653?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,АО Агроменеджмент,50 000 – 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99015074?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Помощник юриста,ООО ЮК Заря,от 40 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98542270?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО ЧОП Патриот,от 45 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98830825?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий юрисконсульт,ФГАОУ ВО Балтийский Федеральный университет имени Иммануила Канта,32 772 – 49 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/95218925?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий юрист,ООО Юридический центр Максимум+,от 50 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99055902?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель отдела продаж,ООО Юрист Для Людей,120 000 – 250 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99033469?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий юрист,ООО МаксиГрупп,от 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98972695?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист первичного приема/Юрист-консультант,ООО Юридический центр Максимум+,40 000 – 140 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99055752?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист,КА Формула успеха,от 80 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/98561227?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист (г. Калининград),ИП Урсакий Виктор Васильевич,от 35 000 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/98958350?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист в строительную компанию,ООО КАС,от 80 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/99038865?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Региональный менеджер,ООО Ваш юрист,от 150 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/92706232?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт,ООО Зеленоградск-Транс,от 45 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/96517556?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрист по банкротству,ООО ЮК Заря,от 70 000 ₽ на руки,https://kaliningrad.hh.ru/vacancy/95174733?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт управления общеправовой работы,ОАО Янтарьэнергосбыт,45 165 – 45 165 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/97196970?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Юрисконсульт отдела по имуществу,ГП КО Водоканал,до 48 207 ₽ до вычета налогов,https://kaliningrad.hh.ru/vacancy/99027033?query=%D1%8E%D1%80%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
